idx,X1,X2,X3,X4
349,0.0671290715953922,0.0885020800617351,0.0655656001330449,0.0742912720941237
627,0.012356997415079,0.0206487200197029,0.0360089446959595,0.0088495427049792
20,0.0300357230445271,0.0393587131880002,0.0275574953544577,0.0233643732980812
434,0.0099321587542657,0.0320984362073151,0.0109369456257724,0.0238847839529796
624,0.034631258438047,0.0150604439369494,0.0160889571144142,0.0308623153721363
665,0.0155856729624499,0.0235241740953098,0.0212207358960689,0.0188111227510656
421,0.0178330622277069,0.0328007162603602,0.0377350493307186,0.0287366859074271
546,0.0293383341877575,0.0137976917017805,0.0103997719634048,0.0040094101476899
143,0.0192683875273793,0.0305374753402745,0.0047543088386703,0.0050922106795994
649,0.0214813450931785,0.0310750141041644,0.0287734300401449,0.0169111184075987
625,0.0100454038734838,0.0549467707270538,0.0112571545246336,0.0144123966114904
456,0.023393103992813,0.0512456718499594,0.066162773217222,0.0178416283864937
340,0.028796478669756,0.0251063150999986,0.0140831812749606,0.0116129351536518
177,0.0009499383254478,0.0092927875754593,0.0043168423628001,0.0407873018109246
587,0.0070815879530705,0.0168618515812362,0.0144244565637023,0.0255741216966693
131,0.0328116734422838,0.0194562685650891,0.0215941414076894,0.0281031364593111
486,0.0105204818382134,0.0423230951850328,0.0454605592383661,0.0124384856335062
704,0.0085773767742391,0.0126735745006856,0.0233847627404273,0.0115452823144117
448,0.0087391238810727,0.0112027815805983,0.0207127960677624,0.0109024900026906
62,0.0353847682704238,0.0397331176224113,0.0212065791811575,0.0142592970612849
342,0.0301291574844562,0.0105737516116874,0.0063863319238812,0.0260852195016294
622,0.0134663518933315,0.0271367925077541,0.0208939945970119,0.008482878917535
32,0.0163863399928168,0.0371667117944394,0.0203446724966891,0.0054948643658061
148,0.0041843354450215,0.0395624314507312,0.0006381801979102,0.0136641295348916
385,0.0283545703167433,0.0410447656913568,0.0322752245110464,0.0235521466023556
652,0.0084261254686275,0.0318397965884251,0.0157929159581531,0.0085966381048496
180,0.0357061911057785,0.0222611189595065,0.0152902425540712,0.0172864028154151
208,0.0347734161826416,0.0286522123916732,0.0132910302583617,0.0114677966540188
27,0.0015368709308596,0.0339954587847461,0.0090281955950128,6.733893371446698e-05
643,0.0213767245230496,0.0513595383159746,0.0020013311614555,0.0148769667796653
158,0.0599963314909395,0.0244382668035196,0.0128569587941242,0.0334452443879751
341,0.040225341185252,0.0167227977294608,0.0050384285954372,0.0120854608129956
